Statistics for ICV ML.  Version 1
Manager: RHEL64 U-2022.12-SP5.9338971 2023/10/26 
Flow=0
SharedRecipe=0
Subflows=
CMEM: 371.0.0 1424 0:0 18523:18523 18523:18523 5363:5363 5363:5363 18523:18523 5363:5363 1:1:0:1 15.60 0.02 0.01
CMEM: 372.0.0 1429 0:0 18449:18449 18449:18449 5363:5363 5289:5289 18449:18449 5289:5289 1:1:0:1 14.39 0.03 0.02
CMEM: 383.0.0 1476 0:0 13254:13254 13254:13254 4533:4533 4533:4533 13254:13254 4533:4533 1:1:0:1 14.59 0.02 0.01
CMEM: 384.0.0 1481 0:0 13221:13221 13221:13221 4533:4533 4500:4500 13221:13221 4500:4500 1:1:0:1 13.38 0.02 0.02
CMEM: 395.0.0 1528 0:0 12444:12444 12444:12444 4119:4119 4119:4119 12444:12444 4119:4119 1:1:0:1 14.57 0.03 0.01
CMEM: 396.0.0 1533 0:0 12444:12444 12444:12444 4119:4119 4119:4119 12444:12444 4119:4119 1:1:0:1 9.57 0.00 0.00
CMEM: 407.0.0 1580 0:0 340:340 340:340 247:247 247:247 340:340 247:247 1:1:0:1 13.10 0.01 0.01
CMEM: 408.0.0 1585 0:0 331:331 331:331 247:247 238:238 331:331 238:238 1:1:0:1 11.90 0.01 0.00
CMEM: 419.0.0 1632 0:0 58:58 58:58 58:58 58:58 58:58 58:58 1:1:0:1 12.82 0.01 0.00
CMEM: 420.0.0 1637 0:0 14:14 14:14 58:58 14:14 14:14 14:14 1:1:0:1 11.62 0.01 0.01
CMEM: 341.0.0 1294 0:0 57852:57852 57852:57852 57852:57852 57852:57852 57852:57852 57852:57852 1:1:0:1 18.57 0.06 0.04
CMEM: 342.0.0 1299 0:0 913:913 913:913 57852:57852 913:913 913:913 913:913 1:1:0:1 16.16 0.07 0.06
CMEM: 329.0.0 1242 0:0 54492:54492 54492:54492 54492:54492 54492:54492 54492:54492 54492:54492 1:1:0:1 18.57 0.05 0.04
CMEM: 330.0.0 1247 0:0 919:919 919:919 54492:54492 919:919 919:919 919:919 1:1:0:1 16.14 0.05 0.03
CMEM: 353.0.0 1346 0:0 32979:32979 32979:32979 32979:32979 32979:32979 32979:32979 32979:32979 1:1:0:1 16.21 0.03 0.03
CMEM: 354.0.0 1351 0:0 913:913 913:913 32979:32979 913:913 913:913 913:913 1:1:0:1 14.93 0.05 0.04
CMEM: 424.0.0 1653 0:0 560593:982193 560593:982193 560593:982193 560593:982193 560593:982193 560593:982193 3:3:0:3 65.99 2.32 1.99
CMEM: 365.0.0 1398 0:0 30162:30162 30162:30162 30162:30162 30162:30162 30162:30162 30162:30162 1:1:0:1 15.18 0.04 0.03
CMEM: 377.0.0 1450 0:0 28664:28664 28664:28664 28664:28664 28664:28664 28664:28664 28664:28664 1:1:0:1 14.23 0.03 0.02
CMEM: 366.0.0 1403 0:0 913:913 913:913 30162:30162 913:913 913:913 913:913 1:1:0:1 13.93 0.05 0.04
